Distance;Altitude;Easting;Northing;Longitude;Latitude
0;3011.7;2618079.83;1142934.29;7.67389;46.437509
33;3015.7;2618112.76;1142932.7;7.674319;46.437493
65.9;3018.2;2618145.69;1142931.11;7.674747;46.437478
98.9;3020.3;2618178.62;1142929.51;7.675175;46.437463
131.9;3023.3;2618211.55;1142927.92;7.675604;46.437448
164.8;3027.3;2618244.48;1142926.33;7.676032;46.437433
197.8;3032.6;2618277.41;1142924.73;7.676461;46.437417
230.8;3039.2;2618310.34;1142923.14;7.676889;46.437402
263.7;3046.2;2618343.27;1142921.55;7.677318;46.437387
296.7;3059.8;2618376.2;1142919.95;7.677746;46.437372
329.7;3070.6;2618409.13;1142918.36;7.678174;46.437356
362.7;3083.4;2618442.06;1142916.77;7.678603;46.437341
395.6;3069;2618474.99;1142915.17;7.679031;46.437326
428.6;2990.3;2618507.92;1142913.58;7.67946;46.437311
461.6;2960.6;2618540.85;1142911.99;7.679888;46.437295
494.5;2887.8;2618573.78;1142910.39;7.680316;46.43728
527.5;2845.3;2618606.71;1142908.8;7.680745;46.437265
560.5;2818.3;2618639.64;1142907.2;7.681173;46.43725
593.4;2741.1;2618672.57;1142905.61;7.681602;46.437234
626.4;2712.1;2618705.5;1142904.02;7.68203;46.437219
659.4;2698.6;2618738.44;1142902.42;7.682458;46.437204
692.3;2683.8;2618771.37;1142900.83;7.682887;46.437189
725.3;2680.8;2618804.3;1142899.24;7.683315;46.437173
758.3;2652.3;2618837.23;1142897.64;7.683744;46.437158
791.2;2634.8;2618870.16;1142896.05;7.684172;46.437143
824.2;2627;2618903.09;1142894.46;7.6846;46.437128
857.2;2613.3;2618936.02;1142892.86;7.685029;46.437112
890.2;2609.3;2618968.95;1142891.27;7.685457;46.437097
923.1;2607.7;2619001.88;1142889.68;7.685886;46.437082
956.1;2621.1;2619034.81;1142888.08;7.686314;46.437067
989.1;2612.9;2619067.74;1142886.49;7.686743;46.437051
1022;2620.2;2619100.67;1142884.9;7.687171;46.437036
1055;2610.7;2619133.6;1142883.3;7.687599;46.437021
1088;2619.6;2619166.53;1142881.71;7.688028;46.437006
1120.9;2609;2619199.46;1142880.12;7.688456;46.43699
1153.9;2594.8;2619232.39;1142878.52;7.688885;46.436975
1186.9;2603.2;2619265.32;1142876.93;7.689313;46.43696
1219.8;2611.4;2619298.25;1142875.34;7.689741;46.436944
1252.8;2615;2619331.18;1142873.74;7.69017;46.436929
1285.8;2630.2;2619364.11;1142872.15;7.690598;46.436914
1318.7;2651.6;2619397.04;1142870.56;7.691027;46.436899
1351.7;2670.5;2619429.97;1142868.96;7.691455;46.436883
1384.7;2682.1;2619462.9;1142867.37;7.691883;46.436868
1417.7;2674.2;2619495.83;1142865.78;7.692312;46.436853
1450.6;2675.5;2619528.76;1142864.18;7.69274;46.436837
1483.6;2678.8;2619561.69;1142862.59;7.693169;46.436822
1516.6;2674.5;2619594.62;1142861;7.693597;46.436807
1549.5;2645.5;2619627.55;1142859.4;7.694025;46.436792
1582.5;2638.9;2619660.48;1142857.81;7.694454;46.436776
1615.5;2637.6;2619693.41;1142856.22;7.694882;46.436761
1648.4;2615.6;2619726.34;1142854.62;7.695311;46.436746
1681;2668.4;2619736.4;1142823.64;7.69544;46.436467
1713.6;2690.7;2619746.46;1142792.66;7.69557;46.436188
1746.2;2712;2619756.52;1142761.67;7.695699;46.435909
1778.7;2725.1;2619766.58;1142730.69;7.695829;46.43563
1811.3;2746.5;2619776.64;1142699.71;7.695958;46.435351
1843.9;2772.8;2619786.7;1142668.73;7.696088;46.435072
1876.5;2810.6;2619796.76;1142637.74;7.696218;46.434793
1909;2833.5;2619806.82;1142606.76;7.696347;46.434514
1941.6;2861;2619816.88;1142575.78;7.696477;46.434235
1974.2;2888.6;2619826.93;1142544.8;7.696606;46.433956
2006.8;2915.4;2619836.99;1142513.81;7.696736;46.433677
2039.3;2941.7;2619847.05;1142482.83;7.696865;46.433398
2071.9;2973;2619857.11;1142451.85;7.696995;46.433119
2104.5;3008.2;2619867.17;1142420.86;7.697124;46.43284
2137.1;3073.9;2619877.23;1142389.88;7.697254;46.432561
2169.6;3110.5;2619887.29;1142358.9;7.697384;46.432282
2202.2;3140.9;2619897.35;1142327.92;7.697513;46.432003
2234.8;3161.6;2619907.41;1142296.93;7.697643;46.431724
2267.4;3190.1;2619917.47;1142265.95;7.697772;46.431445
2299.9;3217.8;2619927.53;1142234.97;7.697902;46.431166
2332.5;3250.1;2619937.59;1142203.99;7.698031;46.430887
2365.1;3276.4;2619947.65;1142173;7.698161;46.430608
2397.7;3241.2;2619957.71;1142142.02;7.69829;46.430329
2430.2;3248.3;2619967.76;1142111.04;7.69842;46.43005
2462.8;3226.7;2619977.82;1142080.05;7.698549;46.429771
2495.4;3211.5;2619987.88;1142049.07;7.698679;46.429492
2528;3229.2;2619997.94;1142018.09;7.698808;46.429213
2560.5;3220.2;2620008;1141987.11;7.698938;46.428934
2593.1;3187.5;2620018.06;1141956.12;7.699068;46.428655
2625.7;3172.2;2620028.12;1141925.14;7.699197;46.428376
2658.3;3142.1;2620038.18;1141894.16;7.699327;46.428097
2690.8;3130.9;2620048.24;1141863.18;7.699456;46.427818
2723.4;3128;2620058.3;1141832.19;7.699586;46.427539
